img_id,created_at,accuracy,precision,recall,F1_score,comment,experiment_id
1,10/05/2021 12:21:43,0.9444444,0.9285714,1.0,0.962963,first try,1
3,10/05/2021 12:36:44,0.8888889,0.85714287,1.0,0.9230769,it is now a part of the experiment,1
5,11/05/2021 16:03:50,0.8888889,1.0,0.85714287,0.9230769,Objects covering certain body parts,1
6,11/05/2021 16:22:47,0.7222222,0.8,0.5,0.61538464,,1
8,11/05/2021 17:32:19,0.8333333,0.75,1.0,0.85714287,sideways position,1
9,11/05/2021 20:52:27,0.8333333,0.8666667,0.9285714,0.8965517,body parts covering eachother,1
10,11/05/2021 21:39:00,0.9444444,0.9,1.0,0.94736844,upper body only,1
12,11/05/2021 21:48:52,0.9444444,0.875,1.0,0.93333334,,1
13,21/05/2021 16:41:35,1.0,1.0,1.0,1.0,"head rotation, partly visible leg",1
35,11/06/2021 17:46:12,1.0,1.0,1.0,1.0,wow,1
